2000,1.1004747565128728E-10
4000,9.175598258738821E-11
6000,5.309651704730376E-7
8000,7.300006035457176E-7
10000,8.318029289120408E-7
12000,1.4773710422742752E-6
14000,2.1820589474720257E-6
16000,1.985715925143658E-6
18000,3.099698829385593E-6
20000,2.7447652523877904E-6
22000,5.447556410114256E-6
24000,5.3679731467438685E-6
26000,5.600165672866185E-6
28000,6.8379010097440456E-6
30000,8.78800956414961E-6
32000,8.091731669618827E-6
34000,1.3221276974330631E-5
36000,1.1387563513955707E-5
38000,1.3912170630910851E-5
40000,1.4071257311835003E-5
42000,1.469440060312162E-5
44000,1.684702097857802E-5
46000,2.0078669021465204E-5
48000,1.907592616671797E-5
50000,1.1107350141017038E-5
52000,1.89512487354241E-5
54000,2.7063611028954432E-5
56000,3.669784348014212E-5
58000,2.7296047699724305E-5
60000,2.8987504842289665E-5
62000,4.646780054527425E-5
64000,4.210200040449614E-5
66000,4.2623745120255686E-5
68000,3.410363331725556E-5
70000,3.985543826406556E-5
72000,5.155869372415889E-5
74000,6.12511058565488E-5
76000,4.426637032093054E-5
78000,5.913822934962341E-5
80000,4.999860379013638E-5
82000,6.130838504978354E-5
84000,4.854940259883026E-5
86000,5.134846967993744E-5
88000,7.607815322974965E-5
90000,5.681709836001616E-5
92000,6.85647197000614E-5
94000,5.7452497879429746E-5
96000,8.154556176010609E-5
98000,5.693460302963076E-5
100000,8.023574977275002E-5
